location,forecast_date,target_date,week_of_season,season_year,actual,predicted,residual_log
Alabama,2024-11-02,2024-11-16,0,2024,44.0,35.78769893824872,0.201498968457801
Alaska,2024-11-02,2024-11-16,0,2024,9.0,14.445477596598018,-0.4347311553068294
Arizona,2024-11-02,2024-11-16,0,2024,356.0,222.5104268560869,0.4682777162142724
Arkansas,2024-11-02,2024-11-16,0,2024,13.0,13.11679410772616,-0.0083078304759167
California,2024-11-02,2024-11-16,0,2024,323.0,286.8856942237067,0.1181800094966467
Colorado,2024-11-02,2024-11-16,0,2024,29.0,56.76531897718458,-0.6551911962377512
Connecticut,2024-11-02,2024-11-16,0,2024,5.0,34.05135586930599,-1.6
Delaware,2024-11-02,2024-11-16,0,2024,4.0,3.0176680259693125,0.218736271164696
District of Columbia,2024-11-02,2024-11-16,0,2024,1.0,5.737504615223474,-1.2145424406802752
Florida,2024-11-02,2024-11-16,0,2024,386.0,208.25978508525907,0.614848222099968
Georgia,2024-11-02,2024-11-16,0,2024,44.0,39.68403067371959,0.1008268410568167
Hawaii,2024-11-02,2024-11-16,0,2024,15.0,5.411841870873522,0.9144421492323928
Idaho,2024-11-02,2024-11-16,0,2024,12.0,9.70770865204529,0.1939854406116432
Illinois,2024-11-02,2024-11-16,0,2024,34.0,80.53313873642462,-0.8456614863767311
Indiana,2024-11-02,2024-11-16,0,2024,26.0,53.93416058230778,-0.7102985218334972
Iowa,2024-11-02,2024-11-16,0,2024,5.0,15.350027711789394,-1.0024701230244375
Kansas,2024-11-02,2024-11-16,0,2024,11.0,37.855320602050966,-1.174938370082272
Kentucky,2024-11-02,2024-11-16,0,2024,18.0,9.40246888499358,0.602395808404478
Louisiana,2024-11-02,2024-11-16,0,2024,84.0,52.88068605381447,0.455879172033403
Maine,2024-11-02,2024-11-16,0,2024,0.0,5.796228789177384,-1.6
Maryland,2024-11-02,2024-11-16,0,2024,11.0,19.17552471155703,-0.5195635720375931
Massachusetts,2024-11-02,2024-11-16,0,2024,16.0,1.6402142635498478,1.6
Michigan,2024-11-02,2024-11-16,0,2024,46.0,51.611288515327246,-0.1127831055656063
Minnesota,2024-11-02,2024-11-16,0,2024,8.0,81.24074179858475,-1.6
Mississippi,2024-11-02,2024-11-16,0,2024,24.0,21.53280350721638,0.1039036437571825
Missouri,2024-11-02,2024-11-16,0,2024,29.0,31.12651115444374,-0.0684842002739327
Montana,2024-11-02,2024-11-16,0,2024,4.0,3.951445467612684,0.0097583648220633
Nebraska,2024-11-02,2024-11-16,0,2024,6.0,2.448151718272877,0.7080717954026383
