location,forecast_date,target_date,week_of_season,season_year,actual,predicted,residual_log
Alabama,2024-11-02,2024-11-30,0,2024,65.0,79.9591561074613,-0.2042900398845564
Alaska,2024-11-02,2024-11-30,0,2024,10.0,18.212540391606865,-0.5576679384249332
Arizona,2024-11-02,2024-11-30,0,2024,558.0,302.4596645700241,0.6109007724101474
Arkansas,2024-11-02,2024-11-30,0,2024,12.0,29.271851871124877,-0.8452689421323778
California,2024-11-02,2024-11-30,0,2024,708.0,569.5530380853132,0.2172493938293813
Colorado,2024-11-02,2024-11-30,0,2024,67.0,120.58867176678504,-0.5811361002036914
Connecticut,2024-11-02,2024-11-30,0,2024,11.0,103.49737138551824,-1.6
Delaware,2024-11-02,2024-11-30,0,2024,5.0,6.782943638615576,-0.2601751571214823
District of Columbia,2024-11-02,2024-11-30,0,2024,5.0,22.399803525662755,-1.360968156761153
Florida,2024-11-02,2024-11-30,0,2024,614.0,140.42982423864564,1.4698186155193795
Georgia,2024-11-02,2024-11-30,0,2024,56.0,130.75279271242408,-0.8378761164205146
Hawaii,2024-11-02,2024-11-30,0,2024,14.0,10.99154873883698,0.2238480711936543
Idaho,2024-11-02,2024-11-30,0,2024,63.0,17.084319875832016,1.2638378257497518
Illinois,2024-11-02,2024-11-30,0,2024,83.0,203.6547383116151,-0.8905075570721923
Indiana,2024-11-02,2024-11-30,0,2024,41.0,138.01489484215654,-1.1969114662442242
Iowa,2024-11-02,2024-11-30,0,2024,4.0,57.34315841475276,-1.6
Kansas,2024-11-02,2024-11-30,0,2024,20.0,118.97893528744672,-1.6
Kentucky,2024-11-02,2024-11-30,0,2024,24.0,34.69054164481936,-0.3560098888935856
Louisiana,2024-11-02,2024-11-30,0,2024,135.0,69.35612516314862,0.6590850389700496
Maine,2024-11-02,2024-11-30,0,2024,2.0,47.22644511111467,-1.6
Maryland,2024-11-02,2024-11-30,0,2024,21.0,41.104822248738586,-0.6491198234958846
Massachusetts,2024-11-02,2024-11-30,0,2024,72.0,61.440706177069416,0.1562420358747003
Michigan,2024-11-02,2024-11-30,0,2024,65.0,217.6379497301088,-1.1977624221715786
Minnesota,2024-11-02,2024-11-30,0,2024,18.0,78.45983294994,-1.4308126689014171
Mississippi,2024-11-02,2024-11-30,0,2024,28.0,32.990368583660704,-0.1587813775480371
Missouri,2024-11-02,2024-11-30,0,2024,41.0,83.61734318606815,-0.7004696295181172
Montana,2024-11-02,2024-11-30,0,2024,2.0,16.028887134002794,-1.6
Nebraska,2024-11-02,2024-11-30,0,2024,11.0,17.758880686873788,-0.4467606271312627
Nevada,2024-11-02,2024-11-30,0,2024,61.0,51.105136718965,0.1738708476915631
New Hampshire,2024-11-02,2024-11-30,0,2024,14.0,7.376656036979143,0.5826014071795145
New Jersey,2024-11-02,2024-11-30,0,2024,67.0,270.527028986622,-1.3845539835212186
New Mexico,2024-11-02,2024-11-30,0,2024,55.0,9.267200680942286,1.6
New York,2024-11-02,2024-11-30,0,2024,145.0,149.44847425330124,-0.0300140400952999
North Carolina,2024-11-02,2024-11-30,0,2024,43.0,208.80403483685572,-1.5619842936838668
North Dakota,2024-11-02,2024-11-30,0,2024,1.0,17.5955510693311,-1.6
Ohio,2024-11-02,2024-11-30,0,2024,55.0,153.2224297115788,-1.0130442183865576
Oklahoma,2024-11-02,2024-11-30,0,2024,40.0,65.55825723121875,-0.484505546040654
Oregon,2024-11-02,2024-11-30,0,2024,83.0,48.31705169622917,0.532546901404789
Pennsylvania,2024-11-02,2024-11-30,0,2024,116.0,676.7422441899521,-1.6
Puerto Rico,2024-11-02,2024-11-30,0,2024,368.0,39.10032976527837,1.6
Rhode Island,2024-11-02,2024-11-30,0,2024,6.0,12.022074446525682,-0.620735802723946
South Carolina,2024-11-02,2024-11-30,0,2024,18.0,28.4933113108745,-0.4397245232464235
South Dakota,2024-11-02,2024-11-30,0,2024,5.0,11.549721096088966,-0.7379389726835881
Tennessee,2024-11-02,2024-11-30,0,2024,60.0,115.30494418675144,-0.6453417068015215
Texas,2024-11-02,2024-11-30,0,2024,405.0,657.7959862740421,-0.4840607462029904
US,2024-11-02,2024-11-30,0,2024,4438.0,4158.176737777543,0.0651119707361367
Utah,2024-11-02,2024-11-30,0,2024,20.0,23.37976634399471,-0.1492311023623123
Vermont,2024-11-02,2024-11-30,0,2024,3.0,9.414457413197884,-0.9569006155674964
Virginia,2024-11-02,2024-11-30,0,2024,46.0,107.52241057497456,-0.8368090990202379
Washington,2024-11-02,2024-11-30,0,2024,46.0,132.09321536273842,-1.0409021484078558
West Virginia,2024-11-02,2024-11-30,0,2024,3.0,12.94702355772892,-1.2489717593445728
Wisconsin,2024-11-02,2024-11-30,0,2024,12.0,196.40262332109413,-1.6
Wyoming,2024-11-02,2024-11-30,0,2024,7.0,1.2339478990724455,1.2756711631165816
Alabama,2024-11-09,2024-12-07,1,2024,102.0,92.64356403949242,0.0952332852516448
Alaska,2024-11-09,2024-12-07,1,2024,18.0,16.872670858627643,0.0611662006915985
Arizona,2024-11-09,2024-12-07,1,2024,882.0,524.9874804847451,0.518047789509307
Arkansas,2024-11-09,2024-12-07,1,2024,32.0,50.381928608404,-0.4427789656805867
California,2024-11-09,2024-12-07,1,2024,1127.0,697.1899140465205,0.4797102831423387
Colorado,2024-11-09,2024-12-07,1,2024,90.0,115.79232077207352,-0.2495378149014211
Connecticut,2024-11-09,2024-12-07,1,2024,13.0,37.77673510749055,-1.0187631265439356
Delaware,2024-11-09,2024-12-07,1,2024,15.000000000000002,18.30311197914299,-0.1876776031155351
District of Columbia,2024-11-09,2024-12-07,1,2024,2.0,30.724438264441773,-1.6
Florida,2024-11-09,2024-12-07,1,2024,717.0,594.0785923495878,0.1877760842429428
