location,forecast_date,target_date,week_of_season,season_year,actual,predicted,residual_log
Alabama,2024-11-02,2024-11-23,0,2024,50.0,52.6950663362485,-0.0514954900120114
Alaska,2024-11-02,2024-11-23,0,2024,7.0,8.966546415191926,-0.2197925846105497
Arizona,2024-11-02,2024-11-23,0,2024,488.0,276.78378704930816,0.5655194228112883
Arkansas,2024-11-02,2024-11-23,0,2024,7.999999999999999,23.630763204443745,-1.006771621098272
California,2024-11-02,2024-11-23,0,2024,526.0,553.6207933606557,-0.0510840764738302
Colorado,2024-11-02,2024-11-23,0,2024,31.0,80.21147209414666,-0.9313206163361704
Connecticut,2024-11-02,2024-11-23,0,2024,4.0,54.6604459679527,-1.6
Delaware,2024-11-02,2024-11-23,0,2024,6.999999999999999,5.176530044685432,0.2586849093424574
District of Columbia,2024-11-02,2024-11-23,0,2024,8.0,14.35546892961526,-0.5342471153032307
Florida,2024-11-02,2024-11-23,0,2024,445.0,156.99194510594617,1.0377749006347523
Georgia,2024-11-02,2024-11-23,0,2024,48.0,60.863389867374025,-0.2331082666648343
Hawaii,2024-11-02,2024-11-23,0,2024,8.0,13.290171938702342,-0.4623474466327053
Idaho,2024-11-02,2024-11-23,0,2024,32.0,21.458036198313074,0.3848590514947823
Illinois,2024-11-02,2024-11-23,0,2024,86.0,97.27822934919249,-0.1218944124461147
Indiana,2024-11-02,2024-11-23,0,2024,32.0,102.13089607611822,-1.1394914556254396
Iowa,2024-11-02,2024-11-23,0,2024,5.0,23.885592008342037,-1.4225295325660985
Kansas,2024-11-02,2024-11-23,0,2024,17.0,66.51326546712824,-1.3219523461126617
Kentucky,2024-11-02,2024-11-23,0,2024,20.0,12.635777967991595,0.4318253663618225
Louisiana,2024-11-02,2024-11-23,0,2024,78.0,70.11357766251083,0.1051695681720055
Maine,2024-11-02,2024-11-23,0,2024,2.42861286636753e-16,11.192884256771478,-1.6
Maryland,2024-11-02,2024-11-23,0,2024,16.0,16.18652425740098,-0.0109122592805808
Massachusetts,2024-11-02,2024-11-23,0,2024,50.0,24.774961671860773,0.6824220898501179
Michigan,2024-11-02,2024-11-23,0,2024,67.0,104.66230810609257,-0.440740530975007
Minnesota,2024-11-02,2024-11-23,0,2024,11.000000000000002,121.4936651566359,-1.6
Mississippi,2024-11-02,2024-11-23,0,2024,36.0,29.621468079412075,0.1892165784493182
Missouri,2024-11-02,2024-11-23,0,2024,42.0,32.729565138884375,0.2428253591168565
Montana,2024-11-02,2024-11-23,0,2024,1.0000000000000002,10.830752843676716,-1.6
Nebraska,2024-11-02,2024-11-23,0,2024,5.0,11.971481485578964,-0.770993746600281
Nevada,2024-11-02,2024-11-23,0,2024,48.0,33.93012111030098,0.3384707720691255
New Hampshire,2024-11-02,2024-11-23,0,2024,11.0,3.233862701490192,1.0417919052132552
New Jersey,2024-11-02,2024-11-23,0,2024,47.0,130.731904577058,-1.0095678204169674
New Mexico,2024-11-02,2024-11-23,0,2024,29.0,15.449470467680786,0.6009040953834388
New York,2024-11-02,2024-11-23,0,2024,103.0,48.99523869877587,0.7324631242719946
North Carolina,2024-11-02,2024-11-23,0,2024,31.0,182.34310483702967,-1.6
North Dakota,2024-11-02,2024-11-23,0,2024,3.0000000000000004,4.764366783532979,-0.3654009484996217
Ohio,2024-11-02,2024-11-23,0,2024,40.0,86.67926410363987,-0.760113363481616
Oklahoma,2024-11-02,2024-11-23,0,2024,14.0,25.05630936792272,-0.5522097399944634
Oregon,2024-11-02,2024-11-23,0,2024,63.0,31.780776563866503,0.6690408201517308
Pennsylvania,2024-11-02,2024-11-23,0,2024,134.0,237.93884514306149,-0.5709328626882
Puerto Rico,2024-11-02,2024-11-23,0,2024,160.0,35.83451635094466,1.474969015085347
Rhode Island,2024-11-02,2024-11-23,0,2024,2.0,14.290151922108226,-1.6
South Carolina,2024-11-02,2024-11-23,0,2024,13.0,10.018097742292309,0.2395181594575666
South Dakota,2024-11-02,2024-11-23,0,2024,4.857225732735061e-17,6.816000188798453,-1.6
Tennessee,2024-11-02,2024-11-23,0,2024,59.0,111.53547051731212,-0.6289239032150471
Texas,2024-11-02,2024-11-23,0,2024,276.0,505.7076183131586,-0.6039166413367356
US,2024-11-02,2024-11-23,0,2024,3279.0,2735.1553340025166,0.1812896501236114
Utah,2024-11-02,2024-11-23,0,2024,20.0,11.784616562574994,0.4962798206247778
Vermont,2024-11-02,2024-11-23,0,2024,1.6653345369377348e-16,5.932729447847857,-1.6
Virginia,2024-11-02,2024-11-23,0,2024,35.0,86.25034053979034,-0.8852625256536566
Washington,2024-11-02,2024-11-23,0,2024,29.0,67.11101316142165,-0.8199415388500078
West Virginia,2024-11-02,2024-11-23,0,2024,4.0,2.0391502804428114,0.4978599490992457
Wisconsin,2024-11-02,2024-11-23,0,2024,18.0,65.34168870497096,-1.2503795093340466
Wyoming,2024-11-02,2024-11-23,0,2024,9.0,3.645280541284441,0.7667333261506466
Alabama,2024-11-09,2024-11-30,1,2024,65.0,58.61963539960973,0.1016697691992627
Alaska,2024-11-09,2024-11-30,1,2024,10.0,7.48398504624206,0.2597149986809324
Arizona,2024-11-09,2024-11-30,1,2024,558.0,566.3358057834971,-0.0148019053208798
Arkansas,2024-11-09,2024-11-30,1,2024,12.0,53.33471606527897,-1.4302140034075084
California,2024-11-09,2024-11-30,1,2024,708.0,467.0859733065831,0.4152035438393842
Colorado,2024-11-09,2024-11-30,1,2024,67.0,92.18447383784824,-0.3150734129151713
Connecticut,2024-11-09,2024-11-30,1,2024,11.0,24.87539015640295,-0.7683856801921798
Delaware,2024-11-09,2024-11-30,1,2024,5.0,7.765855298697432,-0.3791046255250214
District of Columbia,2024-11-09,2024-11-30,1,2024,5.0,23.450564480659988,-1.4048938335698795
Florida,2024-11-09,2024-11-30,1,2024,614.0,412.1492308104102,0.3978134064293979
Georgia,2024-11-09,2024-11-30,1,2024,56.0,119.60921012074598,-0.7495043827029733
Hawaii,2024-11-09,2024-11-30,1,2024,14.0,16.09016998205059,-0.1304532422631625
Idaho,2024-11-09,2024-11-30,1,2024,63.0,22.89998292849792,0.9850053387112516
Illinois,2024-11-09,2024-11-30,1,2024,83.0,150.00425052305184,-0.5864911867347145
Indiana,2024-11-09,2024-11-30,1,2024,41.0,158.32216085080478,-1.3332587028982092
Iowa,2024-11-09,2024-11-30,1,2024,4.0,25.30000337155305,-1.6
Kansas,2024-11-09,2024-11-30,1,2024,20.0,43.799512607113726,-0.7576748223328393
Kentucky,2024-11-09,2024-11-30,1,2024,24.0,57.78375358994174,-0.8549896923678575
Louisiana,2024-11-09,2024-11-30,1,2024,135.0,116.22439323957605,0.1485648968064188
Maine,2024-11-09,2024-11-30,1,2024,2.0,30.35645856240908,-1.6
Maryland,2024-11-09,2024-11-30,1,2024,21.0,49.43244838926364,-0.8295923318048888
Massachusetts,2024-11-09,2024-11-30,1,2024,72.0,119.9200879064759,-0.5046704557430512
Michigan,2024-11-09,2024-11-30,1,2024,65.0,183.5922337085222,-1.0284945082392394
Minnesota,2024-11-09,2024-11-30,1,2024,18.0,189.2650838896537,-1.6
Mississippi,2024-11-09,2024-11-30,1,2024,28.0,36.5814190500751,-0.259213924064932
Missouri,2024-11-09,2024-11-30,1,2024,41.0,47.15235703666747,-0.136700470718369
Montana,2024-11-09,2024-11-30,1,2024,2.0,5.5697469359393565,-0.7838630249647038
Nebraska,2024-11-09,2024-11-30,1,2024,11.0,13.376401352525123,-0.1806814175370736
Nevada,2024-11-09,2024-11-30,1,2024,61.0,75.59006896534737,-0.2113330353244631
New Hampshire,2024-11-09,2024-11-30,1,2024,14.0,7.472908954174565,0.5711763093496622
New Jersey,2024-11-09,2024-11-30,1,2024,67.0,165.17765057659787,-0.8935496951379331
New Mexico,2024-11-09,2024-11-30,1,2024,55.0,12.19774573628299,1.4453056532812902
New York,2024-11-09,2024-11-30,1,2024,145.0,289.75361726362803,-0.6888696107605208
North Carolina,2024-11-09,2024-11-30,1,2024,43.0,185.3365567291496,-1.4433648495021931
North Dakota,2024-11-09,2024-11-30,1,2024,1.0,7.720334323973812,-1.4725103965312414
Ohio,2024-11-09,2024-11-30,1,2024,55.0,82.92994986157399,-0.4046308299755639
Oklahoma,2024-11-09,2024-11-30,1,2024,40.0,78.05721417644742,-0.6565997537162742
