reference_date,horizon,model,weight
2025-11-08,0,ARIMA,0.5
2025-11-08,0,SVM,0.5
2025-11-15,0,ARIMA,0.5702000536987107
2025-11-15,0,SVM,0.42979994630128937
2025-11-22,0,ARIMA,0.3718885756819506
2025-11-22,0,LGBM_bounded,0.33190003349497227
2025-11-22,0,SVM,0.2962113908230771
2025-11-29,0,ARIMA,0.26792613350327094
2025-11-29,0,LGBM_blended,0.24468356000232136
2025-11-29,0,LGBM_bounded,0.3123319173920596
2025-11-29,0,SVM,0.1750583891023481
2025-12-06,0,ARIMA,0.20406542188084717
2025-12-06,0,LGBM_blended,0.26830858018060216
2025-12-06,0,LGBM_bounded,0.2289304253971039
2025-12-06,0,LGBM_bounded_wide_1,0.19147022269776703
2025-12-06,0,SVM,0.10722534984367971
2025-12-13,0,ARIMA,0.2043702638306713
2025-12-13,0,LGBM_blended,0.23587330685865604
2025-12-13,0,LGBM_bounded,0.21820223938550806
2025-12-13,0,LGBM_bounded_wide_1,0.22648045855827714
2025-12-13,0,SVM,0.11507373136688746
2025-12-20,0,ARIMA,0.23698488902086193
2025-12-20,0,LGBM_blended,0.2400745199097183
2025-12-20,0,LGBM_bounded,0.19542734549733462
2025-12-20,0,LGBM_bounded_wide_1,0.2272370579980743
2025-12-20,0,SVM,0.10027618757401087
2025-12-27,0,ARIMA,0.2709474796310237
2025-12-27,0,LGBM_blended,0.24650338408353156
2025-12-27,0,LGBM_bounded,0.15599532839847058
2025-12-27,0,LGBM_bounded_wide_1,0.2369427963860838
2025-12-27,0,SVM,0.08961101150089028
2026-01-03,0,ARIMA,0.24170344967289836
2026-01-03,0,LGBM_blended,0.24348028274126932
2026-01-03,0,LGBM_bounded,0.17464121235027974
2026-01-03,0,LGBM_bounded_wide_1,0.22701703274308302
2026-01-03,0,SVM,0.11315802249246938
2025-11-08,1,SVM,1
2025-11-15,1,SVM,1
2025-11-22,1,ARIMA,0.3333333333333333
2025-11-22,1,LGBM_bounded,0.3333333333333333
2025-11-22,1,SVM,0.3333333333333333
2025-11-29,1,ARIMA,0.16634254726717812
2025-11-29,1,LGBM_blended,0.2385110990395138
2025-11-29,1,LGBM_bounded,0.3811273725872178
2025-11-29,1,SVM,0.21401898110609036
2025-12-06,1,ARIMA,0.1588732599505206
2025-12-06,1,LGBM_blended,0.33904085762216074
2025-12-06,1,LGBM_bounded,0.22228843744939722
2025-12-06,1,LGBM_bounded_wide_1,0.18402163581800607
2025-12-06,1,SVM,0.09577580915991546
2025-12-13,1,ARIMA,0.18574065634383727
2025-12-13,1,LGBM_blended,0.3254345156223546
2025-12-13,1,LGBM_bounded,0.19002507204944846
2025-12-13,1,LGBM_bounded_wide_1,0.22897118511330955
2025-12-13,1,SVM,0.06982857087105018
2025-12-20,1,ARIMA,0.22853677874656847
2025-12-20,1,LGBM_blended,0.38635799552959477
2025-12-20,1,LGBM_bounded,0.12565438744601495
2025-12-20,1,LGBM_bounded_wide_1,0.20458487816080861
2025-12-20,1,SVM,0.05486596011701304
2025-12-27,1,ARIMA,0.2558241706243797
2025-12-27,1,LGBM_blended,0.3573720521493598
2025-12-27,1,LGBM_bounded,0.11073760876929421
2025-12-27,1,LGBM_bounded_wide_1,0.21322463994401442
2025-12-27,1,SVM,0.0628415285129519
2026-01-03,1,ARIMA,0.2558241706243797
2026-01-03,1,LGBM_blended,0.3573720521493598
2026-01-03,1,LGBM_bounded,0.11073760876929421
2026-01-03,1,LGBM_bounded_wide_1,0.21322463994401442
2026-01-03,1,SVM,0.0628415285129519
2025-11-08,2,SVM,1
2025-11-15,2,SVM,1
2025-11-22,2,ARIMA,0.3333333333333333
2025-11-22,2,LGBM_bounded,0.3333333333333333
2025-11-22,2,SVM,0.3333333333333333
2025-11-29,2,ARIMA,0.10607725741062336
2025-11-29,2,LGBM_blended,0.22181224098248184
2025-11-29,2,LGBM_bounded,0.4363166697417366
2025-11-29,2,SVM,0.23579383186515818
2025-12-06,2,ARIMA,0.13152380877161246
2025-12-06,2,LGBM_blended,0.40225897695959173
2025-12-06,2,LGBM_bounded,0.21421067947312197
2025-12-06,2,LGBM_bounded_wide_1,0.17298904918916466
2025-12-06,2,SVM,0.07901748560650924
2025-12-13,2,ARIMA,0.1455083597850145
2025-12-13,2,LGBM_blended,0.4378027710619332
2025-12-13,2,LGBM_bounded,0.15692657552459002
2025-12-13,2,LGBM_bounded_wide_1,0.20392282049087493
2025-12-13,2,SVM,0.055839473137587387
