location,horizon,forecast_date,target_date,week_of_season,season_year,actual,predicted,residual_log
Alabama,1,2024-11-02,2024-11-09,0,2024,32.0,49.21504132493654,-0.4198070483384861
Alaska,1,2024-11-02,2024-11-09,0,2024,5.999999999999999,7.010033713333977,-0.1347848209217124
Arizona,1,2024-11-02,2024-11-09,0,2024,272.0,414.4816674872779,-0.4199666965662265
Arkansas,1,2024-11-02,2024-11-09,0,2024,11.0,22.621003170607302,-0.6772296313158881
California,1,2024-11-02,2024-11-09,0,2024,177.0,450.6632676160883,-0.931153368752053
Colorado,1,2024-11-02,2024-11-09,0,2024,20.0,38.81835817875948,-0.6398056289917715
Connecticut,1,2024-11-02,2024-11-09,0,2024,4.0,27.21935737535685,-1.6
Delaware,1,2024-11-02,2024-11-09,0,2024,1.0,1.6616852060569078,-0.2858122777459997
District of Columbia,1,2024-11-02,2024-11-09,0,2024,2.0,7.22945625797572,-1.0091076555485572
Florida,1,2024-11-02,2024-11-09,0,2024,365.0,282.12501796702867,0.2567447737043657
Georgia,1,2024-11-02,2024-11-09,0,2024,42.0,77.51522209319072,-0.6020924023114644
Hawaii,1,2024-11-02,2024-11-09,0,2024,7.0,7.848190724742567,-0.1007714585575341
Idaho,1,2024-11-02,2024-11-09,0,2024,8.0,18.065256123637703,-0.7506430501153116
Illinois,1,2024-11-02,2024-11-09,0,2024,36.0,124.66887023415045,-1.222732521001705
Indiana,1,2024-11-02,2024-11-09,0,2024,28.0,29.19046855447816,-0.040230433799917
Iowa,1,2024-11-02,2024-11-09,0,2024,4.0,9.881702735722488,-0.7776448181937041
Kansas,1,2024-11-02,2024-11-09,0,2024,7.0,4.2532966697604095,0.4205857250490874
Kentucky,1,2024-11-02,2024-11-09,0,2024,16.0,18.12849707637889,-0.1179658726075594
Louisiana,1,2024-11-02,2024-11-09,0,2024,87.0,75.09527348904537,0.1453506607503909
Maine,1,2024-11-02,2024-11-09,0,2024,0.9999999999999998,3.111796244557901,-0.7207127949444627
Maryland,1,2024-11-02,2024-11-09,0,2024,9.0,0.0,1.6
