location,horizon,forecast_date,target_date,week_of_season,season_year,actual,predicted,residual_log
Alabama,3,2024-11-02,2024-11-23,0,2024,50.0,108.93064959038034,-0.7680240759764358
Alaska,3,2024-11-02,2024-11-23,0,2024,7.0,13.0098675769602,-0.5603203665873071
Arizona,3,2024-11-02,2024-11-23,0,2024,488.0,488.147686316503,-0.0003019714092076
Arkansas,3,2024-11-02,2024-11-23,0,2024,7.999999999999999,58.57671627947634,-1.6
California,3,2024-11-02,2024-11-23,0,2024,526.0,723.3152425684864,-0.3180261669897568
Colorado,3,2024-11-02,2024-11-23,0,2024,31.0,71.58731603210924,-0.8190542934658755
Connecticut,3,2024-11-02,2024-11-23,0,2024,4.0,45.86048718048658,-1.6
Delaware,3,2024-11-02,2024-11-23,0,2024,6.999999999999999,11.0603302615293,-0.4104800341140047
District of Columbia,3,2024-11-02,2024-11-23,0,2024,8.0,16.368596038040536,-0.6574391728245996
Florida,3,2024-11-02,2024-11-23,0,2024,445.0,354.1451859638858,0.2277922716057858
Georgia,3,2024-11-02,2024-11-23,0,2024,48.0,166.3110195193928,-1.2280341745354597
Hawaii,3,2024-11-02,2024-11-23,0,2024,8.0,15.790970956692624,-0.6236167215446984
Idaho,3,2024-11-02,2024-11-23,0,2024,32.0,30.24324559612433,0.0547043495699068
Illinois,3,2024-11-02,2024-11-23,0,2024,86.0,198.2792678283228,-0.8287990782074992
Indiana,3,2024-11-02,2024-11-23,0,2024,32.0,129.17843778107022,-1.3723985461530757
Iowa,3,2024-11-02,2024-11-23,0,2024,5.0,31.97445978751368,-1.6
Kansas,3,2024-11-02,2024-11-23,0,2024,17.0,38.78182660003248,-0.7930384320228057
Kentucky,3,2024-11-02,2024-11-23,0,2024,20.0,59.235456121740384,-1.0537387133372778
Louisiana,3,2024-11-02,2024-11-23,0,2024,78.0,109.39489575985522,-0.3346160462478638
Maine,3,2024-11-02,2024-11-23,0,2024,2.42861286636753e-16,17.899992518842858,-1.6
Maryland,3,2024-11-02,2024-11-23,0,2024,16.0,2.671310361137323,1.5326646990842945
Massachusetts,3,2024-11-02,2024-11-23,0,2024,50.0,79.33465527839975,-0.4543754677105398
Michigan,3,2024-11-02,2024-11-23,0,2024,67.0,106.60342252509552,-0.4589447498997661
Minnesota,3,2024-11-02,2024-11-23,0,2024,11.000000000000002,86.34815907865597,-1.6
Mississippi,3,2024-11-02,2024-11-23,0,2024,36.0,84.9599372590337,-0.8429634292442176
Missouri,3,2024-11-02,2024-11-23,0,2024,42.0,160.544400571417,-1.323579915322688
Montana,3,2024-11-02,2024-11-23,0,2024,1.0000000000000002,12.225885695236684,-1.6
Nebraska,3,2024-11-02,2024-11-23,0,2024,5.0,17.443510462945426,-1.1229531029589932
Nevada,3,2024-11-02,2024-11-23,0,2024,48.0,43.3423350566665,0.0998804327771369
New Hampshire,3,2024-11-02,2024-11-23,0,2024,11.0,7.405972908940557,0.3559641360343755
New Jersey,3,2024-11-02,2024-11-23,0,2024,47.0,119.93149517914662,-0.9240232188180406
New Mexico,3,2024-11-02,2024-11-23,0,2024,29.0,54.81399360649398,-0.6208272377630784
New York,3,2024-11-02,2024-11-23,0,2024,103.0,249.23585146565728,-0.8780129798558765
North Carolina,3,2024-11-02,2024-11-23,0,2024,31.0,236.29666977812963,-1.6
North Dakota,3,2024-11-02,2024-11-23,0,2024,3.0000000000000004,8.297722049032046,-0.8434750680720859
Ohio,3,2024-11-02,2024-11-23,0,2024,40.0,585.7348962753904,-1.6
Oklahoma,3,2024-11-02,2024-11-23,0,2024,14.0,97.57961089712704,-1.6
Oregon,3,2024-11-02,2024-11-23,0,2024,63.0,66.07239818538554,-0.0468895225669623
Pennsylvania,3,2024-11-02,2024-11-23,0,2024,134.0,301.48869565705627,-0.8067691286054615
Puerto Rico,3,2024-11-02,2024-11-23,0,2024,160.0,40.85751754224842,1.3471329535414809
Rhode Island,3,2024-11-02,2024-11-23,0,2024,2.0,9.853177492703422,-1.2858456049146347
South Carolina,3,2024-11-02,2024-11-23,0,2024,13.0,80.85686339067313,-1.6
