location,horizon,forecast_date,target_date,week_of_season,season_year,actual,predicted,residual_log
Alabama,2,2024-11-02,2024-11-16,0,2024,44.0,88.93271141432918,-0.6923992499776883
Alaska,2,2024-11-02,2024-11-16,0,2024,9.0,11.99320398051033,-0.2618413570452569
Arizona,2,2024-11-02,2024-11-16,0,2024,356.0,463.912467031313,-0.2641133631443777
Arkansas,2,2024-11-02,2024-11-16,0,2024,13.0,43.063340166168366,-1.146570818376429
California,2,2024-11-02,2024-11-16,0,2024,323.0,633.2147485359545,-0.6716441013804548
Colorado,2,2024-11-02,2024-11-16,0,2024,29.0,62.45457904135191,-0.7491269776066791
Connecticut,2,2024-11-02,2024-11-16,0,2024,5.0,36.80125264225297,-1.6
Delaware,2,2024-11-02,2024-11-16,0,2024,4.0,9.292998969321768,-0.7220260399764171
District of Columbia,2,2024-11-02,2024-11-16,0,2024,1.0,11.386151473188791,-1.6
Florida,2,2024-11-02,2024-11-16,0,2024,386.0,334.6882991908359,0.1422416446085366
Georgia,2,2024-11-02,2024-11-16,0,2024,44.0,127.23254724668227,-1.0471829011737803
Hawaii,2,2024-11-02,2024-11-16,0,2024,15.0,13.021110861346196,0.1320246097246711
Idaho,2,2024-11-02,2024-11-16,0,2024,12.0,18.60391539778623,-0.4107799540177006
Illinois,2,2024-11-02,2024-11-16,0,2024,34.0,161.92294590564592,-1.5379293030426546
Indiana,2,2024-11-02,2024-11-16,0,2024,26.0,83.34129075642333,-1.1390346863992926
Iowa,2,2024-11-02,2024-11-16,0,2024,5.0,20.48968701483805,-1.2758136770968544
Kansas,2,2024-11-02,2024-11-16,0,2024,11.0,21.724678863753923,-0.6385448587677245
Kentucky,2,2024-11-02,2024-11-16,0,2024,18.0,41.22488081242869,-0.7985706608456113
Louisiana,2,2024-11-02,2024-11-16,0,2024,84.0,97.25493881030172,-0.1449142607850015
Maine,2,2024-11-02,2024-11-16,0,2024,0.0,8.537839785647884,-1.6
Maryland,2,2024-11-02,2024-11-16,0,2024,11.0,23.80188508912446,-0.7260130121524409
Massachusetts,2,2024-11-02,2024-11-16,0,2024,16.0,53.97144623824635,-1.173600547061791
Michigan,2,2024-11-02,2024-11-16,0,2024,46.0,68.55271473643866,-0.3919373487723776
Minnesota,2,2024-11-02,2024-11-16,0,2024,8.0,68.51355656165099,-1.6
Mississippi,2,2024-11-02,2024-11-16,0,2024,24.0,64.88583878572919,-0.9690477041055634
Missouri,2,2024-11-02,2024-11-16,0,2024,29.0,123.001199174807,-1.4190938546606922
Montana,2,2024-11-02,2024-11-16,0,2024,4.0,7.420573438801972,-0.5212400178719181
Nebraska,2,2024-11-02,2024-11-16,0,2024,6.0,12.924509920938846,-0.687740441951189
Nevada,2,2024-11-02,2024-11-16,0,2024,43.0,33.713505388184224,0.2370608184153444
New Hampshire,2,2024-11-02,2024-11-16,0,2024,6.0,3.0097250671508453,0.5571874718950729
New Jersey,2,2024-11-02,2024-11-16,0,2024,37.0,86.32873180365424,-0.8320933647073385
New Mexico,2,2024-11-02,2024-11-16,0,2024,21.0,45.96167131445472,-0.7582893116997327
New York,2,2024-11-02,2024-11-16,0,2024,63.0,207.30352258913848,-1.180113175897909
North Carolina,2,2024-11-02,2024-11-16,0,2024,38.0,201.90588904067624,-1.6
North Dakota,2,2024-11-02,2024-11-16,0,2024,1.0,4.8216756720363225,-1.0684409559009418
Ohio,2,2024-11-02,2024-11-16,0,2024,40.0,578.556680993671,-1.6
Oklahoma,2,2024-11-02,2024-11-16,0,2024,13.0,60.308706783443945,-1.476864538859792
Oregon,2,2024-11-02,2024-11-16,0,2024,36.0,36.87000744406895,-0.0232415258384843
Pennsylvania,2,2024-11-02,2024-11-16,0,2024,111.0,250.0031299442631,-0.8069665376564039
Puerto Rico,2,2024-11-02,2024-11-16,0,2024,228.0,37.89206505885422,1.6
Rhode Island,2,2024-11-02,2024-11-16,0,2024,0.0,5.959892320378184,-1.6
South Carolina,2,2024-11-02,2024-11-16,0,2024,13.0,57.19213818496476,-1.4246929332650755
South Dakota,2,2024-11-02,2024-11-16,0,2024,0.0,10.67105574751234,-1.6
Tennessee,2,2024-11-02,2024-11-16,0,2024,94.0,134.34657735880506,-0.353961836802064
Texas,2,2024-11-02,2024-11-16,0,2024,227.0,445.6137259326841,-0.6723484442665741
US,2,2024-11-02,2024-11-16,0,2024,2612.0,5397.755406853825,-0.7256694602548519
Utah,2,2024-11-02,2024-11-16,0,2024,10.0,33.0342825195678,-1.1294730532143755
Vermont,2,2024-11-02,2024-11-16,0,2024,3.0,3.989572029855372,-0.2210557794054151
Virginia,2,2024-11-02,2024-11-16,0,2024,26.0,79.2728120188831,-1.0895941175285788
Washington,2,2024-11-02,2024-11-16,0,2024,22.0,61.91698326304719,-1.0063219155146663
West Virginia,2,2024-11-02,2024-11-16,0,2024,4.0,28.01164455817965,-1.6
Wisconsin,2,2024-11-02,2024-11-16,0,2024,6.0,56.09251074211932,-1.6
Wyoming,2,2024-11-02,2024-11-16,0,2024,4.0,7.075104703512531,-0.4793479229698179
Alabama,2,2024-11-09,2024-11-23,1,2024,50.0,84.0545010270808,-0.5114666068463287
Alaska,2,2024-11-09,2024-11-23,1,2024,7.0,11.872309178031983,-0.4756368871462704
Arizona,2,2024-11-09,2024-11-23,1,2024,488.0,233.07424799545524,0.7367241253200154
Arkansas,2,2024-11-09,2024-11-23,1,2024,7.999999999999999,53.90946284967305,-1.6
California,2,2024-11-09,2024-11-23,1,2024,526.0,480.6199830263728,0.0900451624126015
Colorado,2,2024-11-09,2024-11-23,1,2024,31.0,70.03713949177097,-0.7974669289103509
Connecticut,2,2024-11-09,2024-11-23,1,2024,4.0,38.28639061648616,-1.6
Delaware,2,2024-11-09,2024-11-23,1,2024,6.999999999999999,8.638243833787286,-0.1862973754284209
District of Columbia,2,2024-11-09,2024-11-23,1,2024,8.0,14.203031140741858,-0.524270247789123
Florida,2,2024-11-09,2024-11-23,1,2024,445.0,235.8740216067337,0.6327905066120252
Georgia,2,2024-11-09,2024-11-23,1,2024,48.0,136.51089840222738,-1.0318828769621118
Hawaii,2,2024-11-09,2024-11-23,1,2024,8.0,13.19375009790532,-0.4555771564332889
Idaho,2,2024-11-09,2024-11-23,1,2024,32.0,25.21711419733146,0.2300951503119921
Illinois,2,2024-11-09,2024-11-23,1,2024,86.0,135.42478827005698,-0.4498653424286534
Indiana,2,2024-11-09,2024-11-23,1,2024,32.0,124.21485634639625,-1.333523551073576
Iowa,2,2024-11-09,2024-11-23,1,2024,5.0,34.0125550936811,-1.6
Kansas,2,2024-11-09,2024-11-23,1,2024,17.0,36.6719002344489,-0.7385427067736088
Kentucky,2,2024-11-09,2024-11-23,1,2024,20.0,63.44485207298098,-1.121287413731213
Louisiana,2,2024-11-09,2024-11-23,1,2024,78.0,60.011332675464864,0.2583882239839701
Maine,2,2024-11-09,2024-11-23,1,2024,2.42861286636753e-16,12.16130429055255,-1.6
Maryland,2,2024-11-09,2024-11-23,1,2024,16.0,3.724706120175316,1.2804079818331031
Massachusetts,2,2024-11-09,2024-11-23,1,2024,50.0,66.4681793642231,-0.2798304371759879
Michigan,2,2024-11-09,2024-11-23,1,2024,67.0,100.92894363011231,-0.4047682342706551
