location,forecast_date,target_date,horizon,mu,sigma,median_forecast,lower_95,upper_95
Alabama,2025-11-08,2025-12-06,4,39.98469207243514,33.707157135009766,39.98469207243514,0.0,106.0495060782866
Alaska,2025-11-08,2025-12-06,4,10.707302505652182,5.894888877868652,10.707302505652182,0.0,22.261072399140474
Arizona,2025-11-08,2025-12-06,4,131.9956391423822,115.54780578613281,131.9956391423822,0.0,358.46517697583135
Arkansas,2025-11-08,2025-12-06,4,23.092892327289317,33.54302215576172,23.092892327289317,0.0,88.83600768521137
California,2025-11-08,2025-12-06,4,297.72798996864697,318.58697509765625,297.72798996864697,0.0,922.1469871036123
Colorado,2025-11-08,2025-12-06,4,81.24049808169092,15.493289947509766,81.24049808169092,50.87420778253531,111.60678838084652
Connecticut,2025-11-08,2025-12-06,4,35.3508828353198,31.00516700744629,35.3508828353198,0.0,96.11989350456406
Delaware,2025-11-08,2025-12-06,4,4.803731850955609,4.5329508781433105,4.803731850955609,0.0,13.68815231580571
District of Columbia,2025-11-08,2025-12-06,4,1.3869903129062586,10.92466926574707,1.3869903129062586,0.0,22.798948616782155
Florida,2025-11-08,2025-12-06,4,209.8516060208197,125.66673278808594,209.8516060208197,0.0,456.15387634028684
Georgia,2025-11-08,2025-12-06,4,58.48019090555671,57.7186393737793,58.48019090555671,0.0,171.60664531481962
Hawaii,2025-11-08,2025-12-06,4,10.463120058698708,6.747747898101807,10.463120058698708,0.0,23.6884629157341
Idaho,2025-11-08,2025-12-06,4,28.23944836545966,12.329166412353516,28.23944836545966,4.074726237845855,52.40417049307346
Illinois,2025-11-08,2025-12-06,4,61.972944841943445,95.98956298828125,61.972944841943445,0.0,250.10903119071367
Indiana,2025-11-08,2025-12-06,4,84.29255332373353,42.08122253417969,84.29255332373353,1.814872731325977,166.77023391614108
Iowa,2025-11-08,2025-12-06,4,14.5464276411325,16.123462677001953,14.5464276411325,0.0,46.1478337941321
Kansas,2025-11-08,2025-12-06,4,17.610264536931215,24.207979202270508,17.610264536931215,0.0,65.05703191187608
Kentucky,2025-11-08,2025-12-06,4,32.7809230005075,60.02238082885742,32.7809230005075,0.0,150.42262769141544
Louisiana,2025-11-08,2025-12-06,4,95.90594677793413,42.01084899902344,95.90594677793413,13.566195779897598,178.24569777597065
Maine,2025-11-08,2025-12-06,4,6.604721784191306,8.89638900756836,6.604721784191306,0.0,24.041323831483325
Maryland,2025-11-08,2025-12-06,4,35.3375788233555,28.41114044189453,35.3375788233555,0.0,91.02239084917818
Massachusetts,2025-11-08,2025-12-06,4,78.91825639122654,42.2651252746582,78.91825639122654,0.0,161.75637973163018
Michigan,2025-11-08,2025-12-06,4,80.98649723332369,59.104698181152344,80.98649723332369,0.0,196.82957698549234
Minnesota,2025-11-08,2025-12-06,4,30.979738200414904,34.49972152709961,30.979738200414904,0.0,98.59794987019133
Mississippi,2025-11-08,2025-12-06,4,33.18336170841249,13.85092830657959,33.18336170841249,6.036041075070127,60.33068234175485
Missouri,2025-11-08,2025-12-06,4,67.80106369627843,45.20626449584961,67.80106369627843,0.0,156.40371398373543
Montana,2025-11-08,2025-12-06,4,2.271188015188334,7.212337970733643,2.271188015188334,0.0,16.407110682156972
Nebraska,2025-11-08,2025-12-06,4,8.369829545230054,9.656124114990234,8.369829545230054,0.0,27.295485040859617
Nevada,2025-11-08,2025-12-06,4,30.092960664922963,16.486099243164062,30.092960664922963,0.0,62.40512142707757
New Hampshire,2025-11-08,2025-12-06,4,4.379558982268625,12.690407752990723,4.379558982268625,0.0,29.252301127258313
New Jersey,2025-11-08,2025-12-06,4,110.60740483029328,24.781789779663086,110.60740483029328,62.035989389710814,159.17882027087572
New Mexico,2025-11-08,2025-12-06,4,28.838913411392987,18.152427673339844,28.838913411392987,0.0,64.41701788310729
